Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,16.00 €,Western & Southern Europe,Spain,Barcelona
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",60.00 €,Western & Southern Europe,Spain,Barcelona
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),12.00 €,Western & Southern Europe,Spain,Barcelona
Domestic Draft Beer (1 Pint),4.00 €,Western & Southern Europe,Spain,Barcelona
Imported Beer (12 oz Small Bottle),4.00 €,Western & Southern Europe,Spain,Barcelona
Cappuccino (Regular Size),2.55 €,Western & Southern Europe,Spain,Barcelona
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",2.30 €,Western & Southern Europe,Spain,Barcelona
Bottled Water (12 oz),1.67 €,Western & Southern Europe,Spain,Barcelona
"Milk (Regular, 1 Liter)",1.07 €,Western & Southern Europe,Spain,Barcelona
Fresh White Bread (1 lb Loaf),1.46 €,Western & Southern Europe,Spain,Barcelona
White Rice (1 lb),0.75 €,Western & Southern Europe,Spain,Barcelona
"Eggs (12, Large Size)",3.62 €,Western & Southern Europe,Spain,Barcelona
Local Cheese (1 lb),6.49 €,Western & Southern Europe,Spain,Barcelona
Chicken Fillets (1 lb),3.53 €,Western & Southern Europe,Spain,Barcelona
Beef Round or Equivalent Back Leg Red Meat (1 lb),7.66 €,Western & Southern Europe,Spain,Barcelona
Apples (1 lb),1.20 €,Western & Southern Europe,Spain,Barcelona
Bananas (1 lb),0.89 €,Western & Southern Europe,Spain,Barcelona
Oranges (1 lb),0.89 €,Western & Southern Europe,Spain,Barcelona
Tomatoes (1 lb),1.13 €,Western & Southern Europe,Spain,Barcelona
Potatoes (1 lb),0.79 €,Western & Southern Europe,Spain,Barcelona
Onions (1 lb),0.76 €,Western & Southern Europe,Spain,Barcelona
Lettuce (1 Head),1.35 €,Western & Southern Europe,Spain,Barcelona
Bottled Water (50 oz),0.76 €,Western & Southern Europe,Spain,Barcelona
Bottle of Wine (Mid-Range),6.00 €,Western & Southern Europe,Spain,Barcelona
Domestic Beer (16.9 oz Bottle),1.20 €,Western & Southern Europe,Spain,Barcelona
Imported Beer (12 oz Small Bottle),2.22 €,Western & Southern Europe,Spain,Barcelona
"Cigarettes (Pack of 20, Marlboro)",6.25 €,Western & Southern Europe,Spain,Barcelona
One-Way Ticket (Local Transport),2.65 €,Western & Southern Europe,Spain,Barcelona
Monthly Public Transport Pass (Regular Price),22.00 €,Western & Southern Europe,Spain,Barcelona
Taxi Start (Standard Tariff),3.00 €,Western & Southern Europe,Spain,Barcelona
Taxi 1 mile (Standard Tariff),3.00 €,Western & Southern Europe,Spain,Barcelona
Taxi 1 Hour Waiting (Standard Tariff),29.95 €,Western & Southern Europe,Spain,Barcelona
Gasoline (1 Liter),1.53 €,Western & Southern Europe,Spain,Barcelona
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"31,500.00 €",Western & Southern Europe,Spain,Barcelona
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"27,600.00 €",Western & Southern Europe,Spain,Barcelona
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",156.22 €,Western & Southern Europe,Spain,Barcelona
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",17.62 €,Western & Southern Europe,Spain,Barcelona
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",33.21 €,Western & Southern Europe,Spain,Barcelona
Monthly Fitness Club Membership,47.64 €,Western & Southern Europe,Spain,Barcelona
"Tennis Court Rental (1 Hour, Weekend)",18.12 €,Western & Southern Europe,Spain,Barcelona
Cinema Ticket (International Release),10.00 €,Western & Southern Europe,Spain,Barcelona
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",659.44 €,Western & Southern Europe,Spain,Barcelona
"International Primary School, Annual Tuition per Child","13,948.47 €",Western & Southern Europe,Spain,Barcelona
Jeans (Levi's 501 or Similar),71.88 €,Western & Southern Europe,Spain,Barcelona
Summer Dress in a Chain Store (e.g. Zara or H&M),32.71 €,Western & Southern Europe,Spain,Barcelona
Nike Running Shoes (Mid-Range),90.62 €,Western & Southern Europe,Spain,Barcelona
Men's Leather Business Shoes,100.79 €,Western & Southern Europe,Spain,Barcelona
1 Bedroom Apartment in City Centre,"1,409.35 €",Western & Southern Europe,Spain,Barcelona
1 Bedroom Apartment Outside of City Centre,"1,078.85 €",Western & Southern Europe,Spain,Barcelona
3 Bedroom Apartment in City Centre,"2,161.67 €",Western & Southern Europe,Spain,Barcelona
3 Bedroom Apartment Outside of City Centre,"1,630.77 €",Western & Southern Europe,Spain,Barcelona
Price per Square Feet to Buy Apartment in City Centre,554.95 €,Western & Southern Europe,Spain,Barcelona
Price per Square Feet to Buy Apartment Outside of Centre,386.94 €,Western & Southern Europe,Spain,Barcelona
Average Monthly Net Salary (After Tax),"2,130.32 €",Western & Southern Europe,Spain,Barcelona
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",3.11,Western & Southern Europe,Spain,Barcelona
