Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,15.00 €,Western & Southern Europe,Spain,Malaga
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",57.50 €,Western & Southern Europe,Spain,Malaga
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),8.50 €,Western & Southern Europe,Spain,Malaga
Domestic Draft Beer (1 Pint),3.00 €,Western & Southern Europe,Spain,Malaga
Imported Beer (12 oz Small Bottle),4.00 €,Western & Southern Europe,Spain,Malaga
Cappuccino (Regular Size),2.16 €,Western & Southern Europe,Spain,Malaga
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",2.21 €,Western & Southern Europe,Spain,Malaga
Bottled Water (12 oz),1.86 €,Western & Southern Europe,Spain,Malaga
"Milk (Regular, 1 Liter)",1.08 €,Western & Southern Europe,Spain,Malaga
Fresh White Bread (1 lb Loaf),1.13 €,Western & Southern Europe,Spain,Malaga
White Rice (1 lb),0.69 €,Western & Southern Europe,Spain,Malaga
"Eggs (12, Large Size)",2.56 €,Western & Southern Europe,Spain,Malaga
Local Cheese (1 lb),6.11 €,Western & Southern Europe,Spain,Malaga
Chicken Fillets (1 lb),3.29 €,Western & Southern Europe,Spain,Malaga
Beef Round or Equivalent Back Leg Red Meat (1 lb),5.39 €,Western & Southern Europe,Spain,Malaga
Apples (1 lb),0.96 €,Western & Southern Europe,Spain,Malaga
Bananas (1 lb),0.83 €,Western & Southern Europe,Spain,Malaga
Oranges (1 lb),0.78 €,Western & Southern Europe,Spain,Malaga
Tomatoes (1 lb),0.98 €,Western & Southern Europe,Spain,Malaga
Potatoes (1 lb),0.67 €,Western & Southern Europe,Spain,Malaga
Onions (1 lb),0.89 €,Western & Southern Europe,Spain,Malaga
Lettuce (1 Head),1.09 €,Western & Southern Europe,Spain,Malaga
Bottled Water (50 oz),0.63 €,Western & Southern Europe,Spain,Malaga
Bottle of Wine (Mid-Range),5.10 €,Western & Southern Europe,Spain,Malaga
Domestic Beer (16.9 oz Bottle),1.07 €,Western & Southern Europe,Spain,Malaga
Imported Beer (12 oz Small Bottle),2.04 €,Western & Southern Europe,Spain,Malaga
"Cigarettes (Pack of 20, Marlboro)",5.82 €,Western & Southern Europe,Spain,Malaga
One-Way Ticket (Local Transport),1.40 €,Western & Southern Europe,Spain,Malaga
Monthly Public Transport Pass (Regular Price),23.95 €,Western & Southern Europe,Spain,Malaga
Taxi Start (Standard Tariff),1.68 €,Western & Southern Europe,Spain,Malaga
Taxi 1 mile (Standard Tariff),1.72 €,Western & Southern Europe,Spain,Malaga
Taxi 1 Hour Waiting (Standard Tariff),19.96 €,Western & Southern Europe,Spain,Malaga
Gasoline (1 Liter),1.54 €,Western & Southern Europe,Spain,Malaga
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"31,500.00 €",Western & Southern Europe,Spain,Malaga
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"25,966.67 €",Western & Southern Europe,Spain,Malaga
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",126.28 €,Western & Southern Europe,Spain,Malaga
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",11.50 €,Western & Southern Europe,Spain,Malaga
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",23.07 €,Western & Southern Europe,Spain,Malaga
Monthly Fitness Club Membership,41.25 €,Western & Southern Europe,Spain,Malaga
"Tennis Court Rental (1 Hour, Weekend)",16.63 €,Western & Southern Europe,Spain,Malaga
Cinema Ticket (International Release),8.80 €,Western & Southern Europe,Spain,Malaga
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",729.78 €,Western & Southern Europe,Spain,Malaga
"International Primary School, Annual Tuition per Child","9,182.64 €",Western & Southern Europe,Spain,Malaga
Jeans (Levi's 501 or Similar),77.30 €,Western & Southern Europe,Spain,Malaga
Summer Dress in a Chain Store (e.g. Zara or H&M),35.02 €,Western & Southern Europe,Spain,Malaga
Nike Running Shoes (Mid-Range),78.02 €,Western & Southern Europe,Spain,Malaga
Men's Leather Business Shoes,95.57 €,Western & Southern Europe,Spain,Malaga
1 Bedroom Apartment in City Centre,"1,139.33 €",Western & Southern Europe,Spain,Malaga
1 Bedroom Apartment Outside of City Centre,857.54 €,Western & Southern Europe,Spain,Malaga
3 Bedroom Apartment in City Centre,"1,930.00 €",Western & Southern Europe,Spain,Malaga
3 Bedroom Apartment Outside of City Centre,"1,416.15 €",Western & Southern Europe,Spain,Malaga
Price per Square Feet to Buy Apartment in City Centre,409.61 €,Western & Southern Europe,Spain,Malaga
Price per Square Feet to Buy Apartment Outside of Centre,235.53 €,Western & Southern Europe,Spain,Malaga
Average Monthly Net Salary (After Tax),"1,519.53 €",Western & Southern Europe,Spain,Malaga
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",3.55,Western & Southern Europe,Spain,Malaga
