Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,15.00 €,Western & Southern Europe,Spain,Valencia
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",60.00 €,Western & Southern Europe,Spain,Valencia
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),11.50 €,Western & Southern Europe,Spain,Valencia
Domestic Draft Beer (1 Pint),3.00 €,Western & Southern Europe,Spain,Valencia
Imported Beer (12 oz Small Bottle),4.00 €,Western & Southern Europe,Spain,Valencia
Cappuccino (Regular Size),2.43 €,Western & Southern Europe,Spain,Valencia
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",2.16 €,Western & Southern Europe,Spain,Valencia
Bottled Water (12 oz),1.75 €,Western & Southern Europe,Spain,Valencia
"Milk (Regular, 1 Liter)",1.08 €,Western & Southern Europe,Spain,Valencia
Fresh White Bread (1 lb Loaf),1.06 €,Western & Southern Europe,Spain,Valencia
White Rice (1 lb),0.70 €,Western & Southern Europe,Spain,Valencia
"Eggs (12, Large Size)",2.76 €,Western & Southern Europe,Spain,Valencia
Local Cheese (1 lb),4.48 €,Western & Southern Europe,Spain,Valencia
Chicken Fillets (1 lb),3.14 €,Western & Southern Europe,Spain,Valencia
Beef Round or Equivalent Back Leg Red Meat (1 lb),5.69 €,Western & Southern Europe,Spain,Valencia
Apples (1 lb),0.97 €,Western & Southern Europe,Spain,Valencia
Bananas (1 lb),0.74 €,Western & Southern Europe,Spain,Valencia
Oranges (1 lb),0.73 €,Western & Southern Europe,Spain,Valencia
Tomatoes (1 lb),0.95 €,Western & Southern Europe,Spain,Valencia
Potatoes (1 lb),0.73 €,Western & Southern Europe,Spain,Valencia
Onions (1 lb),0.74 €,Western & Southern Europe,Spain,Valencia
Lettuce (1 Head),1.11 €,Western & Southern Europe,Spain,Valencia
Bottled Water (50 oz),0.64 €,Western & Southern Europe,Spain,Valencia
Bottle of Wine (Mid-Range),5.00 €,Western & Southern Europe,Spain,Valencia
Domestic Beer (16.9 oz Bottle),1.13 €,Western & Southern Europe,Spain,Valencia
Imported Beer (12 oz Small Bottle),1.62 €,Western & Southern Europe,Spain,Valencia
"Cigarettes (Pack of 20, Marlboro)",6.00 €,Western & Southern Europe,Spain,Valencia
One-Way Ticket (Local Transport),2.00 €,Western & Southern Europe,Spain,Valencia
Monthly Public Transport Pass (Regular Price),30.00 €,Western & Southern Europe,Spain,Valencia
Taxi Start (Standard Tariff),3.50 €,Western & Southern Europe,Spain,Valencia
Taxi 1 mile (Standard Tariff),1.90 €,Western & Southern Europe,Spain,Valencia
Taxi 1 Hour Waiting (Standard Tariff),21.38 €,Western & Southern Europe,Spain,Valencia
Gasoline (1 Liter),1.49 €,Western & Southern Europe,Spain,Valencia
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"31,500.00 €",Western & Southern Europe,Spain,Valencia
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"26,205.56 €",Western & Southern Europe,Spain,Valencia
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",133.19 €,Western & Southern Europe,Spain,Valencia
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",13.29 €,Western & Southern Europe,Spain,Valencia
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",28.19 €,Western & Southern Europe,Spain,Valencia
Monthly Fitness Club Membership,37.00 €,Western & Southern Europe,Spain,Valencia
"Tennis Court Rental (1 Hour, Weekend)",8.56 €,Western & Southern Europe,Spain,Valencia
Cinema Ticket (International Release),9.00 €,Western & Southern Europe,Spain,Valencia
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",536.36 €,Western & Southern Europe,Spain,Valencia
"International Primary School, Annual Tuition per Child","8,822.07 €",Western & Southern Europe,Spain,Valencia
Jeans (Levi's 501 or Similar),77.78 €,Western & Southern Europe,Spain,Valencia
Summer Dress in a Chain Store (e.g. Zara or H&M),35.46 €,Western & Southern Europe,Spain,Valencia
Nike Running Shoes (Mid-Range),83.30 €,Western & Southern Europe,Spain,Valencia
Men's Leather Business Shoes,108.08 €,Western & Southern Europe,Spain,Valencia
1 Bedroom Apartment in City Centre,"1,152.08 €",Western & Southern Europe,Spain,Valencia
1 Bedroom Apartment Outside of City Centre,858.86 €,Western & Southern Europe,Spain,Valencia
3 Bedroom Apartment in City Centre,"1,845.24 €",Western & Southern Europe,Spain,Valencia
3 Bedroom Apartment Outside of City Centre,"1,293.18 €",Western & Southern Europe,Spain,Valencia
Price per Square Feet to Buy Apartment in City Centre,442.19 €,Western & Southern Europe,Spain,Valencia
Price per Square Feet to Buy Apartment Outside of Centre,261.82 €,Western & Southern Europe,Spain,Valencia
Average Monthly Net Salary (After Tax),"1,866.70 €",Western & Southern Europe,Spain,Valencia
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",3.22,Western & Southern Europe,Spain,Valencia
