Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,"1,425.00 Rs",Asia-Pacific,Sri Lanka,Colombo
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)","7,250.00 Rs",Asia-Pacific,Sri Lanka,Colombo
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),"2,250.00 Rs",Asia-Pacific,Sri Lanka,Colombo
Domestic Draft Beer (1 Pint),700.00 Rs,Asia-Pacific,Sri Lanka,Colombo
Imported Beer (12 oz Small Bottle),"1,000.00 Rs",Asia-Pacific,Sri Lanka,Colombo
Cappuccino (Regular Size),835.66 Rs,Asia-Pacific,Sri Lanka,Colombo
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",232.76 Rs,Asia-Pacific,Sri Lanka,Colombo
Bottled Water (12 oz),103.24 Rs,Asia-Pacific,Sri Lanka,Colombo
"Milk (Regular, 1 Liter)",541.03 Rs,Asia-Pacific,Sri Lanka,Colombo
Fresh White Bread (1 lb Loaf),155.93 Rs,Asia-Pacific,Sri Lanka,Colombo
White Rice (1 lb),123.67 Rs,Asia-Pacific,Sri Lanka,Colombo
"Eggs (12, Large Size)",519.09 Rs,Asia-Pacific,Sri Lanka,Colombo
Local Cheese (1 lb),"1,932.93 Rs",Asia-Pacific,Sri Lanka,Colombo
Chicken Fillets (1 lb),634.74 Rs,Asia-Pacific,Sri Lanka,Colombo
Beef Round or Equivalent Back Leg Red Meat (1 lb),"1,086.39 Rs",Asia-Pacific,Sri Lanka,Colombo
Apples (1 lb),973.64 Rs,Asia-Pacific,Sri Lanka,Colombo
Bananas (1 lb),143.48 Rs,Asia-Pacific,Sri Lanka,Colombo
Oranges (1 lb),716.11 Rs,Asia-Pacific,Sri Lanka,Colombo
Tomatoes (1 lb),176.81 Rs,Asia-Pacific,Sri Lanka,Colombo
Potatoes (1 lb),150.06 Rs,Asia-Pacific,Sri Lanka,Colombo
Onions (1 lb),165.94 Rs,Asia-Pacific,Sri Lanka,Colombo
Lettuce (1 Head),322.43 Rs,Asia-Pacific,Sri Lanka,Colombo
Bottled Water (50 oz),159.17 Rs,Asia-Pacific,Sri Lanka,Colombo
Bottle of Wine (Mid-Range),"4,000.00 Rs",Asia-Pacific,Sri Lanka,Colombo
Domestic Beer (16.9 oz Bottle),648.33 Rs,Asia-Pacific,Sri Lanka,Colombo
Imported Beer (12 oz Small Bottle),869.29 Rs,Asia-Pacific,Sri Lanka,Colombo
"Cigarettes (Pack of 20, Marlboro)","3,200.00 Rs",Asia-Pacific,Sri Lanka,Colombo
One-Way Ticket (Local Transport),55.00 Rs,Asia-Pacific,Sri Lanka,Colombo
Monthly Public Transport Pass (Regular Price),"2,549.56 Rs",Asia-Pacific,Sri Lanka,Colombo
Taxi Start (Standard Tariff),130.00 Rs,Asia-Pacific,Sri Lanka,Colombo
Taxi 1 mile (Standard Tariff),193.12 Rs,Asia-Pacific,Sri Lanka,Colombo
Taxi 1 Hour Waiting (Standard Tariff),300.00 Rs,Asia-Pacific,Sri Lanka,Colombo
Gasoline (1 Liter),320.84 Rs,Asia-Pacific,Sri Lanka,Colombo
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"15,000,000.00 Rs",Asia-Pacific,Sri Lanka,Colombo
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"11,687,500.00 Rs",Asia-Pacific,Sri Lanka,Colombo
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)","15,606.05 Rs",Asia-Pacific,Sri Lanka,Colombo
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)","1,296.16 Rs",Asia-Pacific,Sri Lanka,Colombo
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)","5,681.25 Rs",Asia-Pacific,Sri Lanka,Colombo
Monthly Fitness Club Membership,"4,228.07 Rs",Asia-Pacific,Sri Lanka,Colombo
"Tennis Court Rental (1 Hour, Weekend)","1,731.25 Rs",Asia-Pacific,Sri Lanka,Colombo
Cinema Ticket (International Release),"1,200.00 Rs",Asia-Pacific,Sri Lanka,Colombo
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","11,666.67 Rs",Asia-Pacific,Sri Lanka,Colombo
"International Primary School, Annual Tuition per Child","385,714.29 Rs",Asia-Pacific,Sri Lanka,Colombo
Jeans (Levi's 501 or Similar),"8,578.95 Rs",Asia-Pacific,Sri Lanka,Colombo
Summer Dress in a Chain Store (e.g. Zara or H&M),"5,863.64 Rs",Asia-Pacific,Sri Lanka,Colombo
Nike Running Shoes (Mid-Range),"25,843.75 Rs",Asia-Pacific,Sri Lanka,Colombo
Men's Leather Business Shoes,"12,500.00 Rs",Asia-Pacific,Sri Lanka,Colombo
1 Bedroom Apartment in City Centre,"142,104.17 Rs",Asia-Pacific,Sri Lanka,Colombo
1 Bedroom Apartment Outside of City Centre,"71,388.48 Rs",Asia-Pacific,Sri Lanka,Colombo
3 Bedroom Apartment in City Centre,"351,583.33 Rs",Asia-Pacific,Sri Lanka,Colombo
3 Bedroom Apartment Outside of City Centre,"114,507.75 Rs",Asia-Pacific,Sri Lanka,Colombo
Price per Square Feet to Buy Apartment in City Centre,"107,247.04 Rs",Asia-Pacific,Sri Lanka,Colombo
Price per Square Feet to Buy Apartment Outside of Centre,"36,238.35 Rs",Asia-Pacific,Sri Lanka,Colombo
Average Monthly Net Salary (After Tax),"70,452.43 Rs",Asia-Pacific,Sri Lanka,Colombo
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",13.17,Asia-Pacific,Sri Lanka,Colombo
