Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,190.00 NT$,Asia-Pacific,Taiwan,Taipei
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)","1,500.00 NT$",Asia-Pacific,Taiwan,Taipei
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),170.00 NT$,Asia-Pacific,Taiwan,Taipei
Domestic Draft Beer (1 Pint),99.50 NT$,Asia-Pacific,Taiwan,Taipei
Imported Beer (12 oz Small Bottle),120.00 NT$,Asia-Pacific,Taiwan,Taipei
Cappuccino (Regular Size),115.65 NT$,Asia-Pacific,Taiwan,Taipei
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",29.75 NT$,Asia-Pacific,Taiwan,Taipei
Bottled Water (12 oz),19.81 NT$,Asia-Pacific,Taiwan,Taipei
"Milk (Regular, 1 Liter)",96.53 NT$,Asia-Pacific,Taiwan,Taipei
Fresh White Bread (1 lb Loaf),50.38 NT$,Asia-Pacific,Taiwan,Taipei
White Rice (1 lb),45.18 NT$,Asia-Pacific,Taiwan,Taipei
"Eggs (12, Large Size)",85.07 NT$,Asia-Pacific,Taiwan,Taipei
Local Cheese (1 lb),277.70 NT$,Asia-Pacific,Taiwan,Taipei
Chicken Fillets (1 lb),135.46 NT$,Asia-Pacific,Taiwan,Taipei
Beef Round or Equivalent Back Leg Red Meat (1 lb),287.09 NT$,Asia-Pacific,Taiwan,Taipei
Apples (1 lb),69.03 NT$,Asia-Pacific,Taiwan,Taipei
Bananas (1 lb),49.70 NT$,Asia-Pacific,Taiwan,Taipei
Oranges (1 lb),44.14 NT$,Asia-Pacific,Taiwan,Taipei
Tomatoes (1 lb),64.05 NT$,Asia-Pacific,Taiwan,Taipei
Potatoes (1 lb),39.35 NT$,Asia-Pacific,Taiwan,Taipei
Onions (1 lb),31.38 NT$,Asia-Pacific,Taiwan,Taipei
Lettuce (1 Head),53.00 NT$,Asia-Pacific,Taiwan,Taipei
Bottled Water (50 oz),37.25 NT$,Asia-Pacific,Taiwan,Taipei
Bottle of Wine (Mid-Range),475.00 NT$,Asia-Pacific,Taiwan,Taipei
Domestic Beer (16.9 oz Bottle),55.71 NT$,Asia-Pacific,Taiwan,Taipei
Imported Beer (12 oz Small Bottle),65.71 NT$,Asia-Pacific,Taiwan,Taipei
"Cigarettes (Pack of 20, Marlboro)",120.00 NT$,Asia-Pacific,Taiwan,Taipei
One-Way Ticket (Local Transport),25.00 NT$,Asia-Pacific,Taiwan,Taipei
Monthly Public Transport Pass (Regular Price),"1,200.00 NT$",Asia-Pacific,Taiwan,Taipei
Taxi Start (Standard Tariff),85.00 NT$,Asia-Pacific,Taiwan,Taipei
Taxi 1 mile (Standard Tariff),40.23 NT$,Asia-Pacific,Taiwan,Taipei
Taxi 1 Hour Waiting (Standard Tariff),300.00 NT$,Asia-Pacific,Taiwan,Taipei
Gasoline (1 Liter),30.68 NT$,Asia-Pacific,Taiwan,Taipei
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"1,083,000.00 NT$",Asia-Pacific,Taiwan,Taipei
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"785,425.62 NT$",Asia-Pacific,Taiwan,Taipei
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)","2,369.25 NT$",Asia-Pacific,Taiwan,Taipei
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",578.05 NT$,Asia-Pacific,Taiwan,Taipei
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",821.61 NT$,Asia-Pacific,Taiwan,Taipei
Monthly Fitness Club Membership,"1,323.56 NT$",Asia-Pacific,Taiwan,Taipei
"Tennis Court Rental (1 Hour, Weekend)",505.00 NT$,Asia-Pacific,Taiwan,Taipei
Cinema Ticket (International Release),320.00 NT$,Asia-Pacific,Taiwan,Taipei
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","20,384.62 NT$",Asia-Pacific,Taiwan,Taipei
"International Primary School, Annual Tuition per Child","581,111.11 NT$",Asia-Pacific,Taiwan,Taipei
Jeans (Levi's 501 or Similar),"1,983.82 NT$",Asia-Pacific,Taiwan,Taipei
Summer Dress in a Chain Store (e.g. Zara or H&M),"1,151.17 NT$",Asia-Pacific,Taiwan,Taipei
Nike Running Shoes (Mid-Range),"2,653.33 NT$",Asia-Pacific,Taiwan,Taipei
Men's Leather Business Shoes,"3,580.91 NT$",Asia-Pacific,Taiwan,Taipei
1 Bedroom Apartment in City Centre,"24,729.12 NT$",Asia-Pacific,Taiwan,Taipei
1 Bedroom Apartment Outside of City Centre,"16,190.73 NT$",Asia-Pacific,Taiwan,Taipei
3 Bedroom Apartment in City Centre,"52,351.79 NT$",Asia-Pacific,Taiwan,Taipei
3 Bedroom Apartment Outside of City Centre,"32,601.20 NT$",Asia-Pacific,Taiwan,Taipei
Price per Square Feet to Buy Apartment in City Centre,"40,687.34 NT$",Asia-Pacific,Taiwan,Taipei
Price per Square Feet to Buy Apartment Outside of Centre,"24,186.08 NT$",Asia-Pacific,Taiwan,Taipei
Average Monthly Net Salary (After Tax),"51,168.44 NT$",Asia-Pacific,Taiwan,Taipei
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",2.31,Asia-Pacific,Taiwan,Taipei
