Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,100.00 ฿,Asia-Pacific,Thailand,Bangkok
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)","1,000.00 ฿",Asia-Pacific,Thailand,Bangkok
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),200.00 ฿,Asia-Pacific,Thailand,Bangkok
Domestic Draft Beer (1 Pint),100.00 ฿,Asia-Pacific,Thailand,Bangkok
Imported Beer (12 oz Small Bottle),150.00 ฿,Asia-Pacific,Thailand,Bangkok
Cappuccino (Regular Size),90.60 ฿,Asia-Pacific,Thailand,Bangkok
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",23.75 ฿,Asia-Pacific,Thailand,Bangkok
Bottled Water (12 oz),13.35 ฿,Asia-Pacific,Thailand,Bangkok
"Milk (Regular, 1 Liter)",62.72 ฿,Asia-Pacific,Thailand,Bangkok
Fresh White Bread (1 lb Loaf),49.78 ฿,Asia-Pacific,Thailand,Bangkok
White Rice (1 lb),21.12 ฿,Asia-Pacific,Thailand,Bangkok
"Eggs (12, Large Size)",82.23 ฿,Asia-Pacific,Thailand,Bangkok
Local Cheese (1 lb),234.26 ฿,Asia-Pacific,Thailand,Bangkok
Chicken Fillets (1 lb),48.12 ฿,Asia-Pacific,Thailand,Bangkok
Beef Round or Equivalent Back Leg Red Meat (1 lb),159.53 ฿,Asia-Pacific,Thailand,Bangkok
Apples (1 lb),52.49 ฿,Asia-Pacific,Thailand,Bangkok
Bananas (1 lb),27.41 ฿,Asia-Pacific,Thailand,Bangkok
Oranges (1 lb),33.49 ฿,Asia-Pacific,Thailand,Bangkok
Tomatoes (1 lb),29.32 ฿,Asia-Pacific,Thailand,Bangkok
Potatoes (1 lb),23.92 ฿,Asia-Pacific,Thailand,Bangkok
Onions (1 lb),21.58 ฿,Asia-Pacific,Thailand,Bangkok
Lettuce (1 Head),42.44 ฿,Asia-Pacific,Thailand,Bangkok
Bottled Water (50 oz),19.60 ฿,Asia-Pacific,Thailand,Bangkok
Bottle of Wine (Mid-Range),550.00 ฿,Asia-Pacific,Thailand,Bangkok
Domestic Beer (16.9 oz Bottle),59.67 ฿,Asia-Pacific,Thailand,Bangkok
Imported Beer (12 oz Small Bottle),106.86 ฿,Asia-Pacific,Thailand,Bangkok
"Cigarettes (Pack of 20, Marlboro)",145.00 ฿,Asia-Pacific,Thailand,Bangkok
One-Way Ticket (Local Transport),40.00 ฿,Asia-Pacific,Thailand,Bangkok
Monthly Public Transport Pass (Regular Price),"1,200.00 ฿",Asia-Pacific,Thailand,Bangkok
Taxi Start (Standard Tariff),35.00 ฿,Asia-Pacific,Thailand,Bangkok
Taxi 1 mile (Standard Tariff),64.37 ฿,Asia-Pacific,Thailand,Bangkok
Taxi 1 Hour Waiting (Standard Tariff),200.00 ฿,Asia-Pacific,Thailand,Bangkok
Gasoline (1 Liter),37.76 ฿,Asia-Pacific,Thailand,Bangkok
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"1,050,000.00 ฿",Asia-Pacific,Thailand,Bangkok
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"896,285.71 ฿",Asia-Pacific,Thailand,Bangkok
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)","3,282.25 ฿",Asia-Pacific,Thailand,Bangkok
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",421.00 ฿,Asia-Pacific,Thailand,Bangkok
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",625.04 ฿,Asia-Pacific,Thailand,Bangkok
Monthly Fitness Club Membership,"2,150.00 ฿",Asia-Pacific,Thailand,Bangkok
"Tennis Court Rental (1 Hour, Weekend)",480.95 ฿,Asia-Pacific,Thailand,Bangkok
Cinema Ticket (International Release),255.00 ฿,Asia-Pacific,Thailand,Bangkok
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","17,205.13 ฿",Asia-Pacific,Thailand,Bangkok
"International Primary School, Annual Tuition per Child","479,566.67 ฿",Asia-Pacific,Thailand,Bangkok
Jeans (Levi's 501 or Similar),"2,019.18 ฿",Asia-Pacific,Thailand,Bangkok
Summer Dress in a Chain Store (e.g. Zara or H&M),"1,290.77 ฿",Asia-Pacific,Thailand,Bangkok
Nike Running Shoes (Mid-Range),"3,250.00 ฿",Asia-Pacific,Thailand,Bangkok
Men's Leather Business Shoes,"3,213.04 ฿",Asia-Pacific,Thailand,Bangkok
1 Bedroom Apartment in City Centre,"22,071.27 ฿",Asia-Pacific,Thailand,Bangkok
1 Bedroom Apartment Outside of City Centre,"10,869.57 ฿",Asia-Pacific,Thailand,Bangkok
3 Bedroom Apartment in City Centre,"72,894.74 ฿",Asia-Pacific,Thailand,Bangkok
3 Bedroom Apartment Outside of City Centre,"24,956.52 ฿",Asia-Pacific,Thailand,Bangkok
Price per Square Feet to Buy Apartment in City Centre,"18,834.71 ฿",Asia-Pacific,Thailand,Bangkok
Price per Square Feet to Buy Apartment Outside of Centre,"9,563.47 ฿",Asia-Pacific,Thailand,Bangkok
Average Monthly Net Salary (After Tax),"25,304.71 ฿",Asia-Pacific,Thailand,Bangkok
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",5.62,Asia-Pacific,Thailand,Bangkok
