Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,65.00 ฿,Asia-Pacific,Thailand,Chiang Mai
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",625.00 ฿,Asia-Pacific,Thailand,Chiang Mai
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),250.00 ฿,Asia-Pacific,Thailand,Chiang Mai
Domestic Draft Beer (1 Pint),75.00 ฿,Asia-Pacific,Thailand,Chiang Mai
Imported Beer (12 oz Small Bottle),124.99 ฿,Asia-Pacific,Thailand,Chiang Mai
Cappuccino (Regular Size),60.91 ฿,Asia-Pacific,Thailand,Chiang Mai
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",24.88 ฿,Asia-Pacific,Thailand,Chiang Mai
Bottled Water (12 oz),11.50 ฿,Asia-Pacific,Thailand,Chiang Mai
"Milk (Regular, 1 Liter)",63.41 ฿,Asia-Pacific,Thailand,Chiang Mai
Fresh White Bread (1 lb Loaf),49.61 ฿,Asia-Pacific,Thailand,Chiang Mai
White Rice (1 lb),17.75 ฿,Asia-Pacific,Thailand,Chiang Mai
"Eggs (12, Large Size)",70.44 ฿,Asia-Pacific,Thailand,Chiang Mai
Local Cheese (1 lb),248.28 ฿,Asia-Pacific,Thailand,Chiang Mai
Chicken Fillets (1 lb),47.80 ฿,Asia-Pacific,Thailand,Chiang Mai
Beef Round or Equivalent Back Leg Red Meat (1 lb),159.25 ฿,Asia-Pacific,Thailand,Chiang Mai
Apples (1 lb),36.58 ฿,Asia-Pacific,Thailand,Chiang Mai
Bananas (1 lb),15.40 ฿,Asia-Pacific,Thailand,Chiang Mai
Oranges (1 lb),24.10 ฿,Asia-Pacific,Thailand,Chiang Mai
Tomatoes (1 lb),23.69 ฿,Asia-Pacific,Thailand,Chiang Mai
Potatoes (1 lb),20.82 ฿,Asia-Pacific,Thailand,Chiang Mai
Onions (1 lb),17.20 ฿,Asia-Pacific,Thailand,Chiang Mai
Lettuce (1 Head),25.57 ฿,Asia-Pacific,Thailand,Chiang Mai
Bottled Water (50 oz),17.15 ฿,Asia-Pacific,Thailand,Chiang Mai
Bottle of Wine (Mid-Range),600.00 ฿,Asia-Pacific,Thailand,Chiang Mai
Domestic Beer (16.9 oz Bottle),57.05 ฿,Asia-Pacific,Thailand,Chiang Mai
Imported Beer (12 oz Small Bottle),105.06 ฿,Asia-Pacific,Thailand,Chiang Mai
"Cigarettes (Pack of 20, Marlboro)",145.60 ฿,Asia-Pacific,Thailand,Chiang Mai
One-Way Ticket (Local Transport),30.00 ฿,Asia-Pacific,Thailand,Chiang Mai
Monthly Public Transport Pass (Regular Price),"1,800.00 ฿",Asia-Pacific,Thailand,Chiang Mai
Taxi Start (Standard Tariff),40.00 ฿,Asia-Pacific,Thailand,Chiang Mai
Taxi 1 mile (Standard Tariff),48.28 ฿,Asia-Pacific,Thailand,Chiang Mai
Taxi 1 Hour Waiting (Standard Tariff),60.00 ฿,Asia-Pacific,Thailand,Chiang Mai
Gasoline (1 Liter),40.37 ฿,Asia-Pacific,Thailand,Chiang Mai
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"700,000.00 ฿",Asia-Pacific,Thailand,Chiang Mai
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"882,333.33 ฿",Asia-Pacific,Thailand,Chiang Mai
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)","2,148.07 ฿",Asia-Pacific,Thailand,Chiang Mai
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",436.06 ฿,Asia-Pacific,Thailand,Chiang Mai
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",605.64 ฿,Asia-Pacific,Thailand,Chiang Mai
Monthly Fitness Club Membership,"1,287.50 ฿",Asia-Pacific,Thailand,Chiang Mai
"Tennis Court Rental (1 Hour, Weekend)",128.12 ฿,Asia-Pacific,Thailand,Chiang Mai
Cinema Ticket (International Release),220.00 ฿,Asia-Pacific,Thailand,Chiang Mai
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","26,302.14 ฿",Asia-Pacific,Thailand,Chiang Mai
"International Primary School, Annual Tuition per Child","498,811.11 ฿",Asia-Pacific,Thailand,Chiang Mai
Jeans (Levi's 501 or Similar),"1,845.79 ฿",Asia-Pacific,Thailand,Chiang Mai
Summer Dress in a Chain Store (e.g. Zara or H&M),835.44 ฿,Asia-Pacific,Thailand,Chiang Mai
Nike Running Shoes (Mid-Range),"3,182.00 ฿",Asia-Pacific,Thailand,Chiang Mai
Men's Leather Business Shoes,"2,574.72 ฿",Asia-Pacific,Thailand,Chiang Mai
1 Bedroom Apartment in City Centre,"15,265.20 ฿",Asia-Pacific,Thailand,Chiang Mai
1 Bedroom Apartment Outside of City Centre,"8,711.76 ฿",Asia-Pacific,Thailand,Chiang Mai
3 Bedroom Apartment in City Centre,"28,946.15 ฿",Asia-Pacific,Thailand,Chiang Mai
3 Bedroom Apartment Outside of City Centre,"17,307.69 ฿",Asia-Pacific,Thailand,Chiang Mai
Price per Square Feet to Buy Apartment in City Centre,"6,049.80 ฿",Asia-Pacific,Thailand,Chiang Mai
Price per Square Feet to Buy Apartment Outside of Centre,"4,516.91 ฿",Asia-Pacific,Thailand,Chiang Mai
Average Monthly Net Salary (After Tax),"20,391.63 ฿",Asia-Pacific,Thailand,Chiang Mai
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",5.82,Asia-Pacific,Thailand,Chiang Mai
