Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,210.07 ฿,Asia-Pacific,Thailand,Phuket
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)","1,500.00 ฿",Asia-Pacific,Thailand,Phuket
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),300.00 ฿,Asia-Pacific,Thailand,Phuket
Domestic Draft Beer (1 Pint),70.00 ฿,Asia-Pacific,Thailand,Phuket
Imported Beer (12 oz Small Bottle),120.00 ฿,Asia-Pacific,Thailand,Phuket
Cappuccino (Regular Size),101.36 ฿,Asia-Pacific,Thailand,Phuket
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",24.12 ฿,Asia-Pacific,Thailand,Phuket
Bottled Water (12 oz),13.94 ฿,Asia-Pacific,Thailand,Phuket
"Milk (Regular, 1 Liter)",63.50 ฿,Asia-Pacific,Thailand,Phuket
Fresh White Bread (1 lb Loaf),50.48 ฿,Asia-Pacific,Thailand,Phuket
White Rice (1 lb),24.87 ฿,Asia-Pacific,Thailand,Phuket
"Eggs (12, Large Size)",69.96 ฿,Asia-Pacific,Thailand,Phuket
Local Cheese (1 lb),260.60 ฿,Asia-Pacific,Thailand,Phuket
Chicken Fillets (1 lb),46.80 ฿,Asia-Pacific,Thailand,Phuket
Beef Round or Equivalent Back Leg Red Meat (1 lb),162.71 ฿,Asia-Pacific,Thailand,Phuket
Apples (1 lb),45.02 ฿,Asia-Pacific,Thailand,Phuket
Bananas (1 lb),29.76 ฿,Asia-Pacific,Thailand,Phuket
Oranges (1 lb),33.76 ฿,Asia-Pacific,Thailand,Phuket
Tomatoes (1 lb),32.79 ฿,Asia-Pacific,Thailand,Phuket
Potatoes (1 lb),21.90 ฿,Asia-Pacific,Thailand,Phuket
Onions (1 lb),20.56 ฿,Asia-Pacific,Thailand,Phuket
Lettuce (1 Head),36.18 ฿,Asia-Pacific,Thailand,Phuket
Bottled Water (50 oz),18.87 ฿,Asia-Pacific,Thailand,Phuket
Bottle of Wine (Mid-Range),636.48 ฿,Asia-Pacific,Thailand,Phuket
Domestic Beer (16.9 oz Bottle),58.92 ฿,Asia-Pacific,Thailand,Phuket
Imported Beer (12 oz Small Bottle),101.48 ฿,Asia-Pacific,Thailand,Phuket
"Cigarettes (Pack of 20, Marlboro)",145.60 ฿,Asia-Pacific,Thailand,Phuket
One-Way Ticket (Local Transport),47.50 ฿,Asia-Pacific,Thailand,Phuket
Monthly Public Transport Pass (Regular Price),736.46 ฿,Asia-Pacific,Thailand,Phuket
Taxi Start (Standard Tariff),100.00 ฿,Asia-Pacific,Thailand,Phuket
Taxi 1 mile (Standard Tariff),46.67 ฿,Asia-Pacific,Thailand,Phuket
Taxi 1 Hour Waiting (Standard Tariff),162.02 ฿,Asia-Pacific,Thailand,Phuket
Gasoline (1 Liter),41.57 ฿,Asia-Pacific,Thailand,Phuket
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"900,000.00 ฿",Asia-Pacific,Thailand,Phuket
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"894,000.00 ฿",Asia-Pacific,Thailand,Phuket
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)","3,581.56 ฿",Asia-Pacific,Thailand,Phuket
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",379.23 ฿,Asia-Pacific,Thailand,Phuket
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",617.11 ฿,Asia-Pacific,Thailand,Phuket
Monthly Fitness Club Membership,"1,936.57 ฿",Asia-Pacific,Thailand,Phuket
"Tennis Court Rental (1 Hour, Weekend)",390.50 ฿,Asia-Pacific,Thailand,Phuket
Cinema Ticket (International Release),255.00 ฿,Asia-Pacific,Thailand,Phuket
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","20,100.00 ฿",Asia-Pacific,Thailand,Phuket
"International Primary School, Annual Tuition per Child","515,720.22 ฿",Asia-Pacific,Thailand,Phuket
Jeans (Levi's 501 or Similar),"2,118.51 ฿",Asia-Pacific,Thailand,Phuket
Summer Dress in a Chain Store (e.g. Zara or H&M),940.72 ฿,Asia-Pacific,Thailand,Phuket
Nike Running Shoes (Mid-Range),"3,095.54 ฿",Asia-Pacific,Thailand,Phuket
Men's Leather Business Shoes,"2,957.69 ฿",Asia-Pacific,Thailand,Phuket
1 Bedroom Apartment in City Centre,"21,553.85 ฿",Asia-Pacific,Thailand,Phuket
1 Bedroom Apartment Outside of City Centre,"15,400.00 ฿",Asia-Pacific,Thailand,Phuket
3 Bedroom Apartment in City Centre,"67,525.00 ฿",Asia-Pacific,Thailand,Phuket
3 Bedroom Apartment Outside of City Centre,"47,220.00 ฿",Asia-Pacific,Thailand,Phuket
Price per Square Feet to Buy Apartment in City Centre,"12,448.90 ฿",Asia-Pacific,Thailand,Phuket
Price per Square Feet to Buy Apartment Outside of Centre,"8,825.72 ฿",Asia-Pacific,Thailand,Phuket
Average Monthly Net Salary (After Tax),"16,833.28 ฿",Asia-Pacific,Thailand,Phuket
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",5.57,Asia-Pacific,Thailand,Phuket
