Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,400.00 TL,Middle East & Africa,Turkey,Antalya
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)","2,000.00 TL",Middle East & Africa,Turkey,Antalya
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),400.00 TL,Middle East & Africa,Turkey,Antalya
Domestic Draft Beer (1 Pint),140.00 TL,Middle East & Africa,Turkey,Antalya
Imported Beer (12 oz Small Bottle),150.00 TL,Middle East & Africa,Turkey,Antalya
Cappuccino (Regular Size),143.00 TL,Middle East & Africa,Turkey,Antalya
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",55.81 TL,Middle East & Africa,Turkey,Antalya
Bottled Water (12 oz),20.59 TL,Middle East & Africa,Turkey,Antalya
"Milk (Regular, 1 Liter)",43.39 TL,Middle East & Africa,Turkey,Antalya
Fresh White Bread (1 lb Loaf),40.93 TL,Middle East & Africa,Turkey,Antalya
White Rice (1 lb),45.13 TL,Middle East & Africa,Turkey,Antalya
"Eggs (12, Large Size)",104.93 TL,Middle East & Africa,Turkey,Antalya
Local Cheese (1 lb),188.76 TL,Middle East & Africa,Turkey,Antalya
Chicken Fillets (1 lb),111.10 TL,Middle East & Africa,Turkey,Antalya
Beef Round or Equivalent Back Leg Red Meat (1 lb),368.53 TL,Middle East & Africa,Turkey,Antalya
Apples (1 lb),29.78 TL,Middle East & Africa,Turkey,Antalya
Bananas (1 lb),38.60 TL,Middle East & Africa,Turkey,Antalya
Oranges (1 lb),19.59 TL,Middle East & Africa,Turkey,Antalya
Tomatoes (1 lb),25.90 TL,Middle East & Africa,Turkey,Antalya
Potatoes (1 lb),12.58 TL,Middle East & Africa,Turkey,Antalya
Onions (1 lb),9.49 TL,Middle East & Africa,Turkey,Antalya
Lettuce (1 Head),37.47 TL,Middle East & Africa,Turkey,Antalya
Bottled Water (50 oz),27.47 TL,Middle East & Africa,Turkey,Antalya
Bottle of Wine (Mid-Range),300.00 TL,Middle East & Africa,Turkey,Antalya
Domestic Beer (16.9 oz Bottle),86.77 TL,Middle East & Africa,Turkey,Antalya
Imported Beer (12 oz Small Bottle),112.38 TL,Middle East & Africa,Turkey,Antalya
"Cigarettes (Pack of 20, Marlboro)",97.50 TL,Middle East & Africa,Turkey,Antalya
One-Way Ticket (Local Transport),32.50 TL,Middle East & Africa,Turkey,Antalya
Monthly Public Transport Pass (Regular Price),"1,200.00 TL",Middle East & Africa,Turkey,Antalya
Taxi Start (Standard Tariff),42.00 TL,Middle East & Africa,Turkey,Antalya
Taxi 1 mile (Standard Tariff),48.28 TL,Middle East & Africa,Turkey,Antalya
Taxi 1 Hour Waiting (Standard Tariff),390.00 TL,Middle East & Africa,Turkey,Antalya
Gasoline (1 Liter),50.66 TL,Middle East & Africa,Turkey,Antalya
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"2,098,000.00 TL",Middle East & Africa,Turkey,Antalya
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"1,889,888.89 TL",Middle East & Africa,Turkey,Antalya
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)","4,113.55 TL",Middle East & Africa,Turkey,Antalya
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",476.17 TL,Middle East & Africa,Turkey,Antalya
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",610.60 TL,Middle East & Africa,Turkey,Antalya
Monthly Fitness Club Membership,"2,280.45 TL",Middle East & Africa,Turkey,Antalya
"Tennis Court Rental (1 Hour, Weekend)",844.76 TL,Middle East & Africa,Turkey,Antalya
Cinema Ticket (International Release),262.50 TL,Middle East & Africa,Turkey,Antalya
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","28,376.33 TL",Middle East & Africa,Turkey,Antalya
"International Primary School, Annual Tuition per Child","477,716.21 TL",Middle East & Africa,Turkey,Antalya
Jeans (Levi's 501 or Similar),"2,419.80 TL",Middle East & Africa,Turkey,Antalya
Summer Dress in a Chain Store (e.g. Zara or H&M),"1,335.12 TL",Middle East & Africa,Turkey,Antalya
Nike Running Shoes (Mid-Range),"3,808.58 TL",Middle East & Africa,Turkey,Antalya
Men's Leather Business Shoes,"3,312.50 TL",Middle East & Africa,Turkey,Antalya
1 Bedroom Apartment in City Centre,"23,727.27 TL",Middle East & Africa,Turkey,Antalya
1 Bedroom Apartment Outside of City Centre,"18,715.35 TL",Middle East & Africa,Turkey,Antalya
3 Bedroom Apartment in City Centre,"41,824.60 TL",Middle East & Africa,Turkey,Antalya
3 Bedroom Apartment Outside of City Centre,"29,408.34 TL",Middle East & Africa,Turkey,Antalya
Price per Square Feet to Buy Apartment in City Centre,"10,296.67 TL",Middle East & Africa,Turkey,Antalya
Price per Square Feet to Buy Apartment Outside of Centre,"5,436.98 TL",Middle East & Africa,Turkey,Antalya
Average Monthly Net Salary (After Tax),"39,934.37 TL",Middle East & Africa,Turkey,Antalya
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",40.87,Middle East & Africa,Turkey,Antalya
