Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,500.00 TL,Middle East & Africa,Turkey,Istanbul
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)","2,200.00 TL",Middle East & Africa,Turkey,Istanbul
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),400.00 TL,Middle East & Africa,Turkey,Istanbul
Domestic Draft Beer (1 Pint),200.00 TL,Middle East & Africa,Turkey,Istanbul
Imported Beer (12 oz Small Bottle),250.00 TL,Middle East & Africa,Turkey,Istanbul
Cappuccino (Regular Size),172.92 TL,Middle East & Africa,Turkey,Istanbul
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",70.92 TL,Middle East & Africa,Turkey,Istanbul
Bottled Water (12 oz),25.47 TL,Middle East & Africa,Turkey,Istanbul
"Milk (Regular, 1 Liter)",49.70 TL,Middle East & Africa,Turkey,Istanbul
Fresh White Bread (1 lb Loaf),33.34 TL,Middle East & Africa,Turkey,Istanbul
White Rice (1 lb),45.38 TL,Middle East & Africa,Turkey,Istanbul
"Eggs (12, Large Size)",110.87 TL,Middle East & Africa,Turkey,Istanbul
Local Cheese (1 lb),197.87 TL,Middle East & Africa,Turkey,Istanbul
Chicken Fillets (1 lb),120.90 TL,Middle East & Africa,Turkey,Istanbul
Beef Round or Equivalent Back Leg Red Meat (1 lb),413.96 TL,Middle East & Africa,Turkey,Istanbul
Apples (1 lb),43.56 TL,Middle East & Africa,Turkey,Istanbul
Bananas (1 lb),47.30 TL,Middle East & Africa,Turkey,Istanbul
Oranges (1 lb),30.75 TL,Middle East & Africa,Turkey,Istanbul
Tomatoes (1 lb),28.40 TL,Middle East & Africa,Turkey,Istanbul
Potatoes (1 lb),10.95 TL,Middle East & Africa,Turkey,Istanbul
Onions (1 lb),9.49 TL,Middle East & Africa,Turkey,Istanbul
Lettuce (1 Head),39.22 TL,Middle East & Africa,Turkey,Istanbul
Bottled Water (50 oz),25.30 TL,Middle East & Africa,Turkey,Istanbul
Bottle of Wine (Mid-Range),500.00 TL,Middle East & Africa,Turkey,Istanbul
Domestic Beer (16.9 oz Bottle),100.18 TL,Middle East & Africa,Turkey,Istanbul
Imported Beer (12 oz Small Bottle),150.56 TL,Middle East & Africa,Turkey,Istanbul
"Cigarettes (Pack of 20, Marlboro)",100.00 TL,Middle East & Africa,Turkey,Istanbul
One-Way Ticket (Local Transport),35.00 TL,Middle East & Africa,Turkey,Istanbul
Monthly Public Transport Pass (Regular Price),"2,748.00 TL",Middle East & Africa,Turkey,Istanbul
Taxi Start (Standard Tariff),54.00 TL,Middle East & Africa,Turkey,Istanbul
Taxi 1 mile (Standard Tariff),57.13 TL,Middle East & Africa,Turkey,Istanbul
Taxi 1 Hour Waiting (Standard Tariff),350.00 TL,Middle East & Africa,Turkey,Istanbul
Gasoline (1 Liter),53.35 TL,Middle East & Africa,Turkey,Istanbul
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"2,022,000.00 TL",Middle East & Africa,Turkey,Istanbul
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"1,977,858.62 TL",Middle East & Africa,Turkey,Istanbul
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)","3,044.09 TL",Middle East & Africa,Turkey,Istanbul
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",503.06 TL,Middle East & Africa,Turkey,Istanbul
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",650.00 TL,Middle East & Africa,Turkey,Istanbul
Monthly Fitness Club Membership,"2,823.00 TL",Middle East & Africa,Turkey,Istanbul
"Tennis Court Rental (1 Hour, Weekend)",852.00 TL,Middle East & Africa,Turkey,Istanbul
Cinema Ticket (International Release),400.00 TL,Middle East & Africa,Turkey,Istanbul
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","43,498.78 TL",Middle East & Africa,Turkey,Istanbul
"International Primary School, Annual Tuition per Child","886,604.85 TL",Middle East & Africa,Turkey,Istanbul
Jeans (Levi's 501 or Similar),"2,352.62 TL",Middle East & Africa,Turkey,Istanbul
Summer Dress in a Chain Store (e.g. Zara or H&M),"1,708.91 TL",Middle East & Africa,Turkey,Istanbul
Nike Running Shoes (Mid-Range),"4,689.97 TL",Middle East & Africa,Turkey,Istanbul
Men's Leather Business Shoes,"4,094.88 TL",Middle East & Africa,Turkey,Istanbul
1 Bedroom Apartment in City Centre,"45,119.14 TL",Middle East & Africa,Turkey,Istanbul
1 Bedroom Apartment Outside of City Centre,"28,858.87 TL",Middle East & Africa,Turkey,Istanbul
3 Bedroom Apartment in City Centre,"80,784.60 TL",Middle East & Africa,Turkey,Istanbul
3 Bedroom Apartment Outside of City Centre,"50,695.88 TL",Middle East & Africa,Turkey,Istanbul
Price per Square Feet to Buy Apartment in City Centre,"12,595.21 TL",Middle East & Africa,Turkey,Istanbul
Price per Square Feet to Buy Apartment Outside of Centre,"6,999.61 TL",Middle East & Africa,Turkey,Istanbul
Average Monthly Net Salary (After Tax),"52,885.66 TL",Middle East & Africa,Turkey,Istanbul
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",43.33,Middle East & Africa,Turkey,Istanbul
