Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,30.00 AED,Middle East & Africa,UAE,Abu Dhabi
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",250.00 AED,Middle East & Africa,UAE,Abu Dhabi
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),35.00 AED,Middle East & Africa,UAE,Abu Dhabi
Domestic Draft Beer (1 Pint),40.00 AED,Middle East & Africa,UAE,Abu Dhabi
Imported Beer (12 oz Small Bottle),40.00 AED,Middle East & Africa,UAE,Abu Dhabi
Cappuccino (Regular Size),20.50 AED,Middle East & Africa,UAE,Abu Dhabi
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",4.56 AED,Middle East & Africa,UAE,Abu Dhabi
Bottled Water (12 oz),1.85 AED,Middle East & Africa,UAE,Abu Dhabi
"Milk (Regular, 1 Liter)",6.71 AED,Middle East & Africa,UAE,Abu Dhabi
Fresh White Bread (1 lb Loaf),5.40 AED,Middle East & Africa,UAE,Abu Dhabi
White Rice (1 lb),4.11 AED,Middle East & Africa,UAE,Abu Dhabi
"Eggs (12, Large Size)",12.45 AED,Middle East & Africa,UAE,Abu Dhabi
Local Cheese (1 lb),17.67 AED,Middle East & Africa,UAE,Abu Dhabi
Chicken Fillets (1 lb),14.75 AED,Middle East & Africa,UAE,Abu Dhabi
Beef Round or Equivalent Back Leg Red Meat (1 lb),18.90 AED,Middle East & Africa,UAE,Abu Dhabi
Apples (1 lb),3.99 AED,Middle East & Africa,UAE,Abu Dhabi
Bananas (1 lb),3.03 AED,Middle East & Africa,UAE,Abu Dhabi
Oranges (1 lb),2.93 AED,Middle East & Africa,UAE,Abu Dhabi
Tomatoes (1 lb),2.29 AED,Middle East & Africa,UAE,Abu Dhabi
Potatoes (1 lb),1.95 AED,Middle East & Africa,UAE,Abu Dhabi
Onions (1 lb),2.30 AED,Middle East & Africa,UAE,Abu Dhabi
Lettuce (1 Head),6.26 AED,Middle East & Africa,UAE,Abu Dhabi
Bottled Water (50 oz),2.27 AED,Middle East & Africa,UAE,Abu Dhabi
Bottle of Wine (Mid-Range),50.00 AED,Middle East & Africa,UAE,Abu Dhabi
Domestic Beer (16.9 oz Bottle),8.67 AED,Middle East & Africa,UAE,Abu Dhabi
Imported Beer (12 oz Small Bottle),8.64 AED,Middle East & Africa,UAE,Abu Dhabi
"Cigarettes (Pack of 20, Marlboro)",23.00 AED,Middle East & Africa,UAE,Abu Dhabi
One-Way Ticket (Local Transport),2.50 AED,Middle East & Africa,UAE,Abu Dhabi
Monthly Public Transport Pass (Regular Price),95.00 AED,Middle East & Africa,UAE,Abu Dhabi
Taxi Start (Standard Tariff),12.00 AED,Middle East & Africa,UAE,Abu Dhabi
Taxi 1 mile (Standard Tariff),3.22 AED,Middle East & Africa,UAE,Abu Dhabi
Taxi 1 Hour Waiting (Standard Tariff),30.00 AED,Middle East & Africa,UAE,Abu Dhabi
Gasoline (1 Liter),2.74 AED,Middle East & Africa,UAE,Abu Dhabi
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"166,827.00 AED",Middle East & Africa,UAE,Abu Dhabi
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"81,175.00 AED",Middle East & Africa,UAE,Abu Dhabi
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",572.88 AED,Middle East & Africa,UAE,Abu Dhabi
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",172.73 AED,Middle East & Africa,UAE,Abu Dhabi
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",356.21 AED,Middle East & Africa,UAE,Abu Dhabi
Monthly Fitness Club Membership,234.12 AED,Middle East & Africa,UAE,Abu Dhabi
"Tennis Court Rental (1 Hour, Weekend)",152.69 AED,Middle East & Africa,UAE,Abu Dhabi
Cinema Ticket (International Release),50.00 AED,Middle East & Africa,UAE,Abu Dhabi
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","2,402.08 AED",Middle East & Africa,UAE,Abu Dhabi
"International Primary School, Annual Tuition per Child","50,585.80 AED",Middle East & Africa,UAE,Abu Dhabi
Jeans (Levi's 501 or Similar),204.25 AED,Middle East & Africa,UAE,Abu Dhabi
Summer Dress in a Chain Store (e.g. Zara or H&M),171.66 AED,Middle East & Africa,UAE,Abu Dhabi
Nike Running Shoes (Mid-Range),348.81 AED,Middle East & Africa,UAE,Abu Dhabi
Men's Leather Business Shoes,358.10 AED,Middle East & Africa,UAE,Abu Dhabi
1 Bedroom Apartment in City Centre,"6,187.24 AED",Middle East & Africa,UAE,Abu Dhabi
1 Bedroom Apartment Outside of City Centre,"4,751.19 AED",Middle East & Africa,UAE,Abu Dhabi
3 Bedroom Apartment in City Centre,"13,454.10 AED",Middle East & Africa,UAE,Abu Dhabi
3 Bedroom Apartment Outside of City Centre,"10,021.11 AED",Middle East & Africa,UAE,Abu Dhabi
Price per Square Feet to Buy Apartment in City Centre,"1,693.84 AED",Middle East & Africa,UAE,Abu Dhabi
Price per Square Feet to Buy Apartment Outside of Centre,"1,017.18 AED",Middle East & Africa,UAE,Abu Dhabi
Average Monthly Net Salary (After Tax),"9,733.33 AED",Middle East & Africa,UAE,Abu Dhabi
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",5.28,Middle East & Africa,UAE,Abu Dhabi
