Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,40.00 AED,Middle East & Africa,UAE,Dubai
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",300.00 AED,Middle East & Africa,UAE,Dubai
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),35.00 AED,Middle East & Africa,UAE,Dubai
Domestic Draft Beer (1 Pint),50.00 AED,Middle East & Africa,UAE,Dubai
Imported Beer (12 oz Small Bottle),50.00 AED,Middle East & Africa,UAE,Dubai
Cappuccino (Regular Size),21.79 AED,Middle East & Africa,UAE,Dubai
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",5.41 AED,Middle East & Africa,UAE,Dubai
Bottled Water (12 oz),3.09 AED,Middle East & Africa,UAE,Dubai
"Milk (Regular, 1 Liter)",6.76 AED,Middle East & Africa,UAE,Dubai
Fresh White Bread (1 lb Loaf),4.56 AED,Middle East & Africa,UAE,Dubai
White Rice (1 lb),4.06 AED,Middle East & Africa,UAE,Dubai
"Eggs (12, Large Size)",13.18 AED,Middle East & Africa,UAE,Dubai
Local Cheese (1 lb),18.54 AED,Middle East & Africa,UAE,Dubai
Chicken Fillets (1 lb),14.00 AED,Middle East & Africa,UAE,Dubai
Beef Round or Equivalent Back Leg Red Meat (1 lb),19.52 AED,Middle East & Africa,UAE,Dubai
Apples (1 lb),4.24 AED,Middle East & Africa,UAE,Dubai
Bananas (1 lb),3.05 AED,Middle East & Africa,UAE,Dubai
Oranges (1 lb),3.02 AED,Middle East & Africa,UAE,Dubai
Tomatoes (1 lb),2.25 AED,Middle East & Africa,UAE,Dubai
Potatoes (1 lb),1.80 AED,Middle East & Africa,UAE,Dubai
Onions (1 lb),1.76 AED,Middle East & Africa,UAE,Dubai
Lettuce (1 Head),5.15 AED,Middle East & Africa,UAE,Dubai
Bottled Water (50 oz),2.26 AED,Middle East & Africa,UAE,Dubai
Bottle of Wine (Mid-Range),70.00 AED,Middle East & Africa,UAE,Dubai
Domestic Beer (16.9 oz Bottle),9.08 AED,Middle East & Africa,UAE,Dubai
Imported Beer (12 oz Small Bottle),11.56 AED,Middle East & Africa,UAE,Dubai
"Cigarettes (Pack of 20, Marlboro)",23.00 AED,Middle East & Africa,UAE,Dubai
One-Way Ticket (Local Transport),6.00 AED,Middle East & Africa,UAE,Dubai
Monthly Public Transport Pass (Regular Price),320.00 AED,Middle East & Africa,UAE,Dubai
Taxi Start (Standard Tariff),12.00 AED,Middle East & Africa,UAE,Dubai
Taxi 1 mile (Standard Tariff),4.02 AED,Middle East & Africa,UAE,Dubai
Taxi 1 Hour Waiting (Standard Tariff),30.00 AED,Middle East & Africa,UAE,Dubai
Gasoline (1 Liter),2.85 AED,Middle East & Africa,UAE,Dubai
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"120,000.00 AED",Middle East & Africa,UAE,Dubai
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"81,755.56 AED",Middle East & Africa,UAE,Dubai
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",887.42 AED,Middle East & Africa,UAE,Dubai
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",219.83 AED,Middle East & Africa,UAE,Dubai
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",353.90 AED,Middle East & Africa,UAE,Dubai
Monthly Fitness Club Membership,271.59 AED,Middle East & Africa,UAE,Dubai
"Tennis Court Rental (1 Hour, Weekend)",181.14 AED,Middle East & Africa,UAE,Dubai
Cinema Ticket (International Release),52.00 AED,Middle East & Africa,UAE,Dubai
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","2,957.14 AED",Middle East & Africa,UAE,Dubai
"International Primary School, Annual Tuition per Child","60,187.14 AED",Middle East & Africa,UAE,Dubai
Jeans (Levi's 501 or Similar),256.90 AED,Middle East & Africa,UAE,Dubai
Summer Dress in a Chain Store (e.g. Zara or H&M),228.10 AED,Middle East & Africa,UAE,Dubai
Nike Running Shoes (Mid-Range),395.91 AED,Middle East & Africa,UAE,Dubai
Men's Leather Business Shoes,416.54 AED,Middle East & Africa,UAE,Dubai
1 Bedroom Apartment in City Centre,"8,571.24 AED",Middle East & Africa,UAE,Dubai
1 Bedroom Apartment Outside of City Centre,"5,287.50 AED",Middle East & Africa,UAE,Dubai
3 Bedroom Apartment in City Centre,"16,065.05 AED",Middle East & Africa,UAE,Dubai
3 Bedroom Apartment Outside of City Centre,"11,288.00 AED",Middle East & Africa,UAE,Dubai
Price per Square Feet to Buy Apartment in City Centre,"2,470.09 AED",Middle East & Africa,UAE,Dubai
Price per Square Feet to Buy Apartment Outside of Centre,"1,375.87 AED",Middle East & Africa,UAE,Dubai
Average Monthly Net Salary (After Tax),"14,927.19 AED",Middle East & Africa,UAE,Dubai
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",4.50,Middle East & Africa,UAE,Dubai
