Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,725.00 $U,Latin America,Uruguay,Montevideo
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)","2,400.00 $U",Latin America,Uruguay,Montevideo
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),502.50 $U,Latin America,Uruguay,Montevideo
Domestic Draft Beer (1 Pint),180.00 $U,Latin America,Uruguay,Montevideo
Imported Beer (12 oz Small Bottle),150.00 $U,Latin America,Uruguay,Montevideo
Cappuccino (Regular Size),178.04 $U,Latin America,Uruguay,Montevideo
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",95.74 $U,Latin America,Uruguay,Montevideo
Bottled Water (12 oz),73.95 $U,Latin America,Uruguay,Montevideo
"Milk (Regular, 1 Liter)",51.00 $U,Latin America,Uruguay,Montevideo
Fresh White Bread (1 lb Loaf),103.51 $U,Latin America,Uruguay,Montevideo
White Rice (1 lb),31.63 $U,Latin America,Uruguay,Montevideo
"Eggs (12, Large Size)",208.69 $U,Latin America,Uruguay,Montevideo
Local Cheese (1 lb),253.84 $U,Latin America,Uruguay,Montevideo
Chicken Fillets (1 lb),204.74 $U,Latin America,Uruguay,Montevideo
Beef Round or Equivalent Back Leg Red Meat (1 lb),197.73 $U,Latin America,Uruguay,Montevideo
Apples (1 lb),57.85 $U,Latin America,Uruguay,Montevideo
Bananas (1 lb),48.58 $U,Latin America,Uruguay,Montevideo
Oranges (1 lb),29.24 $U,Latin America,Uruguay,Montevideo
Tomatoes (1 lb),70.13 $U,Latin America,Uruguay,Montevideo
Potatoes (1 lb),40.65 $U,Latin America,Uruguay,Montevideo
Onions (1 lb),41.15 $U,Latin America,Uruguay,Montevideo
Lettuce (1 Head),57.56 $U,Latin America,Uruguay,Montevideo
Bottled Water (50 oz),72.78 $U,Latin America,Uruguay,Montevideo
Bottle of Wine (Mid-Range),400.00 $U,Latin America,Uruguay,Montevideo
Domestic Beer (16.9 oz Bottle),98.02 $U,Latin America,Uruguay,Montevideo
Imported Beer (12 oz Small Bottle),123.15 $U,Latin America,Uruguay,Montevideo
"Cigarettes (Pack of 20, Marlboro)",220.00 $U,Latin America,Uruguay,Montevideo
One-Way Ticket (Local Transport),60.00 $U,Latin America,Uruguay,Montevideo
Monthly Public Transport Pass (Regular Price),"3,000.00 $U",Latin America,Uruguay,Montevideo
Taxi Start (Standard Tariff),75.00 $U,Latin America,Uruguay,Montevideo
Taxi 1 mile (Standard Tariff),22.69 $U,Latin America,Uruguay,Montevideo
Taxi 1 Hour Waiting (Standard Tariff),423.00 $U,Latin America,Uruguay,Montevideo
Gasoline (1 Liter),77.09 $U,Latin America,Uruguay,Montevideo
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"1,122,362.71 $U",Latin America,Uruguay,Montevideo
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"1,465,223.33 $U",Latin America,Uruguay,Montevideo
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)","8,159.91 $U",Latin America,Uruguay,Montevideo
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",770.30 $U,Latin America,Uruguay,Montevideo
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)","1,980.67 $U",Latin America,Uruguay,Montevideo
Monthly Fitness Club Membership,"2,239.23 $U",Latin America,Uruguay,Montevideo
"Tennis Court Rental (1 Hour, Weekend)",850.00 $U,Latin America,Uruguay,Montevideo
Cinema Ticket (International Release),460.00 $U,Latin America,Uruguay,Montevideo
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","21,736.24 $U",Latin America,Uruguay,Montevideo
"International Primary School, Annual Tuition per Child","410,715.33 $U",Latin America,Uruguay,Montevideo
Jeans (Levi's 501 or Similar),"3,927.76 $U",Latin America,Uruguay,Montevideo
Summer Dress in a Chain Store (e.g. Zara or H&M),"2,054.79 $U",Latin America,Uruguay,Montevideo
Nike Running Shoes (Mid-Range),"4,730.53 $U",Latin America,Uruguay,Montevideo
Men's Leather Business Shoes,"4,974.71 $U",Latin America,Uruguay,Montevideo
1 Bedroom Apartment in City Centre,"25,318.72 $U",Latin America,Uruguay,Montevideo
1 Bedroom Apartment Outside of City Centre,"20,406.26 $U",Latin America,Uruguay,Montevideo
3 Bedroom Apartment in City Centre,"42,356.34 $U",Latin America,Uruguay,Montevideo
3 Bedroom Apartment Outside of City Centre,"33,313.16 $U",Latin America,Uruguay,Montevideo
Price per Square Feet to Buy Apartment in City Centre,"12,858.09 $U",Latin America,Uruguay,Montevideo
Price per Square Feet to Buy Apartment Outside of Centre,"8,326.26 $U",Latin America,Uruguay,Montevideo
Average Monthly Net Salary (After Tax),"43,888.93 $U",Latin America,Uruguay,Montevideo
"Annual Mortgage Interest Rate (20-Year Fixed, in %)",5.72,Latin America,Uruguay,Montevideo
