Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,"50,000.00 ₫",Asia-Pacific,Vietnam,Da Nang
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)","500,000.00 ₫",Asia-Pacific,Vietnam,Da Nang
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),"120,000.00 ₫",Asia-Pacific,Vietnam,Da Nang
Domestic Draft Beer (1 Pint),"30,000.00 ₫",Asia-Pacific,Vietnam,Da Nang
Imported Beer (12 oz Small Bottle),"60,000.00 ₫",Asia-Pacific,Vietnam,Da Nang
Cappuccino (Regular Size),"41,105.26 ₫",Asia-Pacific,Vietnam,Da Nang
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)","14,249.09 ₫",Asia-Pacific,Vietnam,Da Nang
Bottled Water (12 oz),"8,289.47 ₫",Asia-Pacific,Vietnam,Da Nang
"Milk (Regular, 1 Liter)","37,900.00 ₫",Asia-Pacific,Vietnam,Da Nang
Fresh White Bread (1 lb Loaf),"28,576.35 ₫",Asia-Pacific,Vietnam,Da Nang
White Rice (1 lb),"14,061.38 ₫",Asia-Pacific,Vietnam,Da Nang
"Eggs (12, Large Size)","39,377.78 ₫",Asia-Pacific,Vietnam,Da Nang
Local Cheese (1 lb),"147,417.70 ₫",Asia-Pacific,Vietnam,Da Nang
Chicken Fillets (1 lb),"44,956.10 ₫",Asia-Pacific,Vietnam,Da Nang
Beef Round or Equivalent Back Leg Red Meat (1 lb),"107,410.80 ₫",Asia-Pacific,Vietnam,Da Nang
Apples (1 lb),"30,163.93 ₫",Asia-Pacific,Vietnam,Da Nang
Bananas (1 lb),"12,757.30 ₫",Asia-Pacific,Vietnam,Da Nang
Oranges (1 lb),"14,377.97 ₫",Asia-Pacific,Vietnam,Da Nang
Tomatoes (1 lb),"15,138.66 ₫",Asia-Pacific,Vietnam,Da Nang
Potatoes (1 lb),"12,190.31 ₫",Asia-Pacific,Vietnam,Da Nang
Onions (1 lb),"13,461.83 ₫",Asia-Pacific,Vietnam,Da Nang
Lettuce (1 Head),"23,000.00 ₫",Asia-Pacific,Vietnam,Da Nang
Bottled Water (50 oz),"12,500.00 ₫",Asia-Pacific,Vietnam,Da Nang
Bottle of Wine (Mid-Range),"200,000.00 ₫",Asia-Pacific,Vietnam,Da Nang
Domestic Beer (16.9 oz Bottle),"21,077.44 ₫",Asia-Pacific,Vietnam,Da Nang
Imported Beer (12 oz Small Bottle),"58,000.00 ₫",Asia-Pacific,Vietnam,Da Nang
"Cigarettes (Pack of 20, Marlboro)","39,000.00 ₫",Asia-Pacific,Vietnam,Da Nang
One-Way Ticket (Local Transport),"8,000.00 ₫",Asia-Pacific,Vietnam,Da Nang
Monthly Public Transport Pass (Regular Price),"100,000.00 ₫",Asia-Pacific,Vietnam,Da Nang
Taxi Start (Standard Tariff),"30,000.00 ₫",Asia-Pacific,Vietnam,Da Nang
Taxi 1 mile (Standard Tariff),"29,484.11 ₫",Asia-Pacific,Vietnam,Da Nang
Taxi 1 Hour Waiting (Standard Tariff),"500,000.00 ₫",Asia-Pacific,Vietnam,Da Nang
Gasoline (1 Liter),"21,242.14 ₫",Asia-Pacific,Vietnam,Da Nang
