Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,"50,000.00 ₫",Asia-Pacific,Vietnam,Hanoi
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)","800,000.00 ₫",Asia-Pacific,Vietnam,Hanoi
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),"120,000.00 ₫",Asia-Pacific,Vietnam,Hanoi
Domestic Draft Beer (1 Pint),"25,000.00 ₫",Asia-Pacific,Vietnam,Hanoi
Imported Beer (12 oz Small Bottle),"50,000.00 ₫",Asia-Pacific,Vietnam,Hanoi
Cappuccino (Regular Size),"49,355.05 ₫",Asia-Pacific,Vietnam,Hanoi
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)","12,076.92 ₫",Asia-Pacific,Vietnam,Hanoi
Bottled Water (12 oz),"6,424.76 ₫",Asia-Pacific,Vietnam,Hanoi
"Milk (Regular, 1 Liter)","37,000.00 ₫",Asia-Pacific,Vietnam,Hanoi
Fresh White Bread (1 lb Loaf),"20,747.98 ₫",Asia-Pacific,Vietnam,Hanoi
White Rice (1 lb),"9,836.30 ₫",Asia-Pacific,Vietnam,Hanoi
"Eggs (12, Large Size)","38,365.22 ₫",Asia-Pacific,Vietnam,Hanoi
Local Cheese (1 lb),"151,231.14 ₫",Asia-Pacific,Vietnam,Hanoi
Chicken Fillets (1 lb),"44,647.84 ₫",Asia-Pacific,Vietnam,Hanoi
Beef Round or Equivalent Back Leg Red Meat (1 lb),"122,215.97 ₫",Asia-Pacific,Vietnam,Hanoi
Apples (1 lb),"38,183.82 ₫",Asia-Pacific,Vietnam,Hanoi
Bananas (1 lb),"12,526.28 ₫",Asia-Pacific,Vietnam,Hanoi
Oranges (1 lb),"16,235.72 ₫",Asia-Pacific,Vietnam,Hanoi
Tomatoes (1 lb),"13,221.04 ₫",Asia-Pacific,Vietnam,Hanoi
Potatoes (1 lb),"11,497.33 ₫",Asia-Pacific,Vietnam,Hanoi
Onions (1 lb),"12,590.35 ₫",Asia-Pacific,Vietnam,Hanoi
Lettuce (1 Head),"17,091.88 ₫",Asia-Pacific,Vietnam,Hanoi
Bottled Water (50 oz),"14,122.02 ₫",Asia-Pacific,Vietnam,Hanoi
Bottle of Wine (Mid-Range),"400,000.00 ₫",Asia-Pacific,Vietnam,Hanoi
Domestic Beer (16.9 oz Bottle),"24,376.91 ₫",Asia-Pacific,Vietnam,Hanoi
Imported Beer (12 oz Small Bottle),"45,481.75 ₫",Asia-Pacific,Vietnam,Hanoi
"Cigarettes (Pack of 20, Marlboro)","36,400.00 ₫",Asia-Pacific,Vietnam,Hanoi
One-Way Ticket (Local Transport),"10,000.00 ₫",Asia-Pacific,Vietnam,Hanoi
Monthly Public Transport Pass (Regular Price),"200,000.00 ₫",Asia-Pacific,Vietnam,Hanoi
Taxi Start (Standard Tariff),"20,000.00 ₫",Asia-Pacific,Vietnam,Hanoi
Taxi 1 mile (Standard Tariff),"24,944.84 ₫",Asia-Pacific,Vietnam,Hanoi
Taxi 1 Hour Waiting (Standard Tariff),"60,000.00 ₫",Asia-Pacific,Vietnam,Hanoi
Gasoline (1 Liter),"20,903.91 ₫",Asia-Pacific,Vietnam,Hanoi
Volkswagen Golf 1.5 (or Equivalent New Compact Car),"798,000,000.00 ₫",Asia-Pacific,Vietnam,Hanoi
Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"781,875,000.00 ₫",Asia-Pacific,Vietnam,Hanoi
"Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)","1,930,718.21 ₫",Asia-Pacific,Vietnam,Hanoi
"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)","145,224.02 ₫",Asia-Pacific,Vietnam,Hanoi
"Broadband Internet (Unlimited Data, 60 Mbps or Higher)","239,529.41 ₫",Asia-Pacific,Vietnam,Hanoi
Monthly Fitness Club Membership,"700,368.04 ₫",Asia-Pacific,Vietnam,Hanoi
"Tennis Court Rental (1 Hour, Weekend)","259,090.91 ₫",Asia-Pacific,Vietnam,Hanoi
Cinema Ticket (International Release),"102,500.00 ₫",Asia-Pacific,Vietnam,Hanoi
"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","14,740,857.37 ₫",Asia-Pacific,Vietnam,Hanoi
"International Primary School, Annual Tuition per Child","524,383,800.57 ₫",Asia-Pacific,Vietnam,Hanoi
