Item,Price,Region,Country,City
Meal at an Inexpensive Restaurant,"51,250.00 ₫",Asia-Pacific,Vietnam,Ho Chi Minh City
"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)","519,415.03 ₫",Asia-Pacific,Vietnam,Ho Chi Minh City
Combo Meal at McDonald's (or Equivalent Fast-Food Meal),"120,000.00 ₫",Asia-Pacific,Vietnam,Ho Chi Minh City
Domestic Draft Beer (1 Pint),"30,000.00 ₫",Asia-Pacific,Vietnam,Ho Chi Minh City
Imported Beer (12 oz Small Bottle),"50,000.00 ₫",Asia-Pacific,Vietnam,Ho Chi Minh City
Cappuccino (Regular Size),"47,944.44 ₫",Asia-Pacific,Vietnam,Ho Chi Minh City
"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)","13,940.32 ₫",Asia-Pacific,Vietnam,Ho Chi Minh City
Bottled Water (12 oz),"8,665.85 ₫",Asia-Pacific,Vietnam,Ho Chi Minh City
"Milk (Regular, 1 Liter)","39,562.50 ₫",Asia-Pacific,Vietnam,Ho Chi Minh City
Fresh White Bread (1 lb Loaf),"22,717.44 ₫",Asia-Pacific,Vietnam,Ho Chi Minh City
White Rice (1 lb),"12,608.20 ₫",Asia-Pacific,Vietnam,Ho Chi Minh City
"Eggs (12, Large Size)","37,890.91 ₫",Asia-Pacific,Vietnam,Ho Chi Minh City
Local Cheese (1 lb),"137,960.53 ₫",Asia-Pacific,Vietnam,Ho Chi Minh City
Chicken Fillets (1 lb),"42,732.23 ₫",Asia-Pacific,Vietnam,Ho Chi Minh City
Beef Round or Equivalent Back Leg Red Meat (1 lb),"126,136.63 ₫",Asia-Pacific,Vietnam,Ho Chi Minh City
Apples (1 lb),"31,830.39 ₫",Asia-Pacific,Vietnam,Ho Chi Minh City
Bananas (1 lb),"13,755.84 ₫",Asia-Pacific,Vietnam,Ho Chi Minh City
Oranges (1 lb),"14,496.46 ₫",Asia-Pacific,Vietnam,Ho Chi Minh City
Tomatoes (1 lb),"13,731.49 ₫",Asia-Pacific,Vietnam,Ho Chi Minh City
Potatoes (1 lb),"13,504.70 ₫",Asia-Pacific,Vietnam,Ho Chi Minh City
Onions (1 lb),"14,896.95 ₫",Asia-Pacific,Vietnam,Ho Chi Minh City
Lettuce (1 Head),"19,937.50 ₫",Asia-Pacific,Vietnam,Ho Chi Minh City
Bottled Water (50 oz),"12,768.18 ₫",Asia-Pacific,Vietnam,Ho Chi Minh City
Bottle of Wine (Mid-Range),"346,605.19 ₫",Asia-Pacific,Vietnam,Ho Chi Minh City
Domestic Beer (16.9 oz Bottle),"23,699.49 ₫",Asia-Pacific,Vietnam,Ho Chi Minh City
Imported Beer (12 oz Small Bottle),"42,031.62 ₫",Asia-Pacific,Vietnam,Ho Chi Minh City
"Cigarettes (Pack of 20, Marlboro)","35,000.00 ₫",Asia-Pacific,Vietnam,Ho Chi Minh City
One-Way Ticket (Local Transport),"7,000.00 ₫",Asia-Pacific,Vietnam,Ho Chi Minh City
Monthly Public Transport Pass (Regular Price),"300,000.00 ₫",Asia-Pacific,Vietnam,Ho Chi Minh City
Taxi Start (Standard Tariff),"20,000.00 ₫",Asia-Pacific,Vietnam,Ho Chi Minh City
