Country,City,Region,CostOfLiving_1 Bedroom Apartment Outside of City Centre,CostOfLiving_1 Bedroom Apartment in City Centre,CostOfLiving_3 Bedroom Apartment Outside of City Centre,CostOfLiving_3 Bedroom Apartment in City Centre,"CostOfLiving_Annual Mortgage Interest Rate (20-Year Fixed, in %)",CostOfLiving_Apples (1 lb),CostOfLiving_Average Monthly Net Salary (After Tax),CostOfLiving_Bananas (1 lb),"CostOfLiving_Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",CostOfLiving_Beef Round or Equivalent Back Leg Red Meat (1 lb),CostOfLiving_Bottle of Wine (Mid-Range),CostOfLiving_Bottled Water (12 oz),CostOfLiving_Bottled Water (50 oz),"CostOfLiving_Broadband Internet (Unlimited Data, 60 Mbps or Higher)",CostOfLiving_Cappuccino (Regular Size),CostOfLiving_Chicken Fillets (1 lb),"CostOfLiving_Cigarettes (Pack of 20, Marlboro)",CostOfLiving_Cinema Ticket (International Release),CostOfLiving_Combo Meal at McDonald's (or Equivalent Fast-Food Meal),CostOfLiving_Domestic Beer (16.9 oz Bottle),CostOfLiving_Domestic Draft Beer (1 Pint),"CostOfLiving_Eggs (12, Large Size)",CostOfLiving_Fresh White Bread (1 lb Loaf),CostOfLiving_Gasoline (1 Liter),CostOfLiving_Imported Beer (12 oz Small Bottle),"CostOfLiving_International Primary School, Annual Tuition per Child",CostOfLiving_Jeans (Levi's 501 or Similar),CostOfLiving_Lettuce (1 Head),CostOfLiving_Local Cheese (1 lb),CostOfLiving_Meal at an Inexpensive Restaurant,"CostOfLiving_Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",CostOfLiving_Men's Leather Business Shoes,"CostOfLiving_Milk (Regular, 1 Liter)","CostOfLiving_Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",CostOfLiving_Monthly Fitness Club Membership,CostOfLiving_Monthly Public Transport Pass (Regular Price),CostOfLiving_Nike Running Shoes (Mid-Range),CostOfLiving_One-Way Ticket (Local Transport),CostOfLiving_Onions (1 lb),CostOfLiving_Oranges (1 lb),CostOfLiving_Potatoes (1 lb),CostOfLiving_Price per Square Feet to Buy Apartment Outside of Centre,CostOfLiving_Price per Square Feet to Buy Apartment in City Centre,"CostOfLiving_Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","CostOfLiving_Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",CostOfLiving_Summer Dress in a Chain Store (e.g. Zara or H&M),CostOfLiving_Taxi 1 Hour Waiting (Standard Tariff),CostOfLiving_Taxi 1 mile (Standard Tariff),CostOfLiving_Taxi Start (Standard Tariff),"CostOfLiving_Tennis Court Rental (1 Hour, Weekend)",CostOfLiving_Tomatoes (1 lb),CostOfLiving_Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),CostOfLiving_Volkswagen Golf 1.5 (or Equivalent New Compact Car),CostOfLiving_White Rice (1 lb),SpeedTestMobile_Rank,SpeedTestMobile_Rank Delta,SpeedTestMobile_Mbps,LPI2023_LPI Score,LPI2023_LPI Grouped Rank,LPI2023_Customs Score,LPI2023_Customs Grouped Rank,LPI2023_Infrastructure Score,LPI2023_Infrastructure Grouped Rank,LPI2023_International Shipments Score,LPI2023_International Shipments Grouped Rank,LPI2023_Logistics Competence and Quality Score,LPI2023_Logistics Competence and Quality Grouped Rank,LPI2023_Timeliness Score,LPI2023_Timeliness Grouped Rank,LPI2023_Tracking and Tracing Score,LPI2023_Tracking and Tracing Grouped Rank,SpeedTestBroadband_Rank,SpeedTestBroadband_Rank Change,SpeedTestBroadband_Mbps,GPI_rank,GPI_score ,CostOfLiving_1 Bedroom Apartment in City Centre_Scaled,GPI_score _Scaled,LPI2023_LPI Score_Scaled,Rent_Inverted,Safety_Inverted,Arbitrage_Score,US_Tax_Treaty,Digital_Nomad_Visa
Malaysia,Penang,Asia-Pacific,250.54,438.0,496.95,608.19,1.1,1.35,1020.99,0.8,41.29,4.08,19.8,0.38,0.59,31.8,3.04,2.13,4.75,5.33,4.82,3.05,4.44,2.4,1.02,0.57,4.405,11113.12,60.6,1.15,6.2,3.81,20.3,70.19,2.03,10.18,32.23,12.69,86.21,0.51,0.53,1.18,0.51,111.51,215.36,418.78,0.79,36.37,7.61,0.63,1.78,5.08,0.68,36278.55,43289.34,0.82,28.0,-,147.24,3.6,26.0,3.3,31.0,3.6,30.0,3.7,8.0,3.7,28.0,3.7,30.0,3.7,29.0,42.0,2,165.48,13.0,1.469,-0.6004453674281284,-0.5678873239436618,0.4800000000000004,0.6004453674281284,0.5678873239436618,0.4497556117599838,Yes,Yes
Bulgaria,Plovdiv,Eastern Europe & The Balkans,194.64,283.68,341.49,469.15,1.99,0.4,596.06,0.43,55.19,3.41,3.78,0.64,0.42,7.64,1.38,1.99,2.1,4.73,4.57,0.6,1.47,1.87,0.53,0.8,1.46,2749.48,32.14,0.6,2.74,4.73,24.45,48.8,0.99,9.7,20.59,15.78,52.58,0.31,0.26,0.43,0.24,74.74,115.75,278.2,0.82,19.71,5.68,0.56,0.63,10.59,0.62,14008.75,17248.41,0.49,5.0,-,277.97,3.2,51.0,3.1,43.0,3.1,52.0,3.0,57.0,3.3,46.0,3.5,46.0,3.3,49.0,74.0,10,92.12,29.0,1.61,-0.8578577326294193,-0.2501408450704224,-0.1599999999999994,0.8578577326294193,0.2501408450704224,0.3611712620658523,Yes,Yes
Argentina,Buenos Aires,Latin America,0.36,0.51,0.71,0.99,0.04,0.0,0.55,0.0,0.13,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,4.17,0.08,0.0,0.0,0.01,0.05,0.1,0.0,0.01,0.03,0.01,0.09,0.0,0.0,0.0,0.0,0.13,0.18,0.26,0.0,0.06,0.01,0.0,0.0,0.01,0.0,20.67,17.21,0.0,69.0,-1,60.08,2.8,73.0,2.7,65.0,2.8,63.0,2.7,85.0,2.7,81.0,3.1,76.0,2.9,72.0,59.0,-,113.33,46.0,1.768,-1.3301974128656144,0.1059154929577463,-0.8,1.3301974128656144,-0.1059154929577463,0.3508958665546965,Yes,Yes
Malaysia,Kuala Lumpur,Asia-Pacific,399.04,667.91,701.9,1214.0,1.13,1.48,1493.06,0.81,65.36,4.47,19.04,0.52,0.74,27.78,3.39,2.22,4.57,5.33,5.08,3.44,4.7,2.43,1.02,0.61,5.63,10870.17,67.78,1.24,7.03,5.08,30.46,96.58,2.28,9.58,49.47,12.69,92.76,0.76,0.69,1.24,0.61,144.63,367.85,308.87,0.99,42.43,5.08,2.04,1.27,7.09,0.76,35980.62,43147.21,0.81,28.0,-,147.24,3.6,26.0,3.3,31.0,3.6,30.0,3.7,8.0,3.7,28.0,3.7,30.0,3.7,29.0,42.0,2,165.48,13.0,1.469,-0.2169456468252976,-0.5678873239436618,0.4800000000000004,0.2169456468252976,0.5678873239436618,0.2963557235188515,Yes,Yes
Bulgaria,Sofia,Eastern Europe & The Balkans,313.83,406.14,527.4,731.82,1.83,0.48,882.81,0.48,81.24,3.43,3.94,0.8,0.4,7.46,1.52,2.07,2.21,5.46,5.69,0.59,1.66,2.01,0.69,0.78,1.42,6411.83,44.22,0.55,2.91,6.31,28.41,62.8,1.02,9.82,24.29,15.77,59.44,0.51,0.23,0.44,0.26,138.29,207.25,367.05,1.09,20.01,7.57,0.81,0.93,12.78,0.67,14884.83,16574.6,0.54,5.0,-,277.97,3.2,51.0,3.1,43.0,3.1,52.0,3.0,57.0,3.3,46.0,3.5,46.0,3.3,49.0,74.0,10,92.12,29.0,1.61,-0.653589211099157,-0.2501408450704224,-0.1599999999999994,0.653589211099157,0.2501408450704224,0.2794638534537474,Yes,Yes
Latvia,Riga,Eastern Europe & The Balkans,403.47,590.77,768.51,1130.12,5.38,0.84,1585.31,0.88,352.19,5.67,8.15,1.37,0.94,21.75,3.69,3.86,5.82,10.71,8.15,1.96,5.82,3.7,1.56,1.82,3.91,17114.17,83.13,1.75,5.22,16.3,69.85,137.37,1.29,21.69,52.32,34.92,85.96,1.75,0.5,1.2,0.54,186.11,292.76,556.97,1.93,46.34,19.73,1.33,3.49,32.78,1.71,31606.52,29103.61,1.34,30.0,-,141.23,3.5,34.0,3.3,31.0,3.3,44.0,3.2,43.0,3.7,28.0,4.0,17.0,3.6,34.0,54.0,2,132.48,22.0,1.558,-0.3456184685699036,-0.3673239436619718,0.3200000000000003,0.3456184685699036,0.3673239436619718,0.2757121761603558,Yes,Yes
Greece,Thessaloniki,Western & Southern Europe,487.0,623.24,828.75,1064.3,6.32,0.95,1148.25,0.93,222.77,6.93,9.31,0.66,1.06,31.2,4.56,5.22,5.59,10.48,11.64,1.98,5.82,4.88,1.27,2.1,4.3950000000000005,8647.01,89.98,1.09,6.11,17.46,61.12,120.44,1.69,26.2,45.27,18.63,103.4,0.7,0.54,0.8,0.54,250.66,347.72,451.55,2.84,38.11,12.57,1.69,4.07,19.41,1.12,30638.49,29103.61,1.23,31.0,-,138.64,3.7,19.0,3.2,37.0,3.7,25.0,3.8,4.0,3.8,20.0,3.9,21.0,3.9,20.0,72.0,6,92.79,45.0,1.764,-0.2914571187896682,0.096901408450704,0.6400000000000006,0.2914571187896682,-0.096901408450704,0.2252025658257266,Yes,Yes
Greece,Athens,Western & Southern Europe,617.0,722.07,1131.73,1349.44,5.37,1.02,1353.11,0.95,209.84,7.94,11.64,0.62,1.0,34.2,4.2,5.03,5.82,10.77,10.48,2.01,5.82,4.71,1.41,2.06,4.335,13072.05,102.27,1.09,6.9,17.46,69.85,125.65,1.8,27.8,57.28,31.43,105.02,1.4,0.57,0.66,0.61,327.56,375.72,645.47,2.63,45.55,17.46,1.78,4.19,26.57,1.02,29038.56,29080.33,1.58,31.0,-,138.64,3.7,19.0,3.2,37.0,3.7,25.0,3.8,4.0,3.8,20.0,3.9,21.0,3.9,20.0,72.0,6,92.79,45.0,1.764,-0.1266044486701528,0.096901408450704,0.6400000000000006,0.1266044486701528,-0.096901408450704,0.1592614977779204,Yes,Yes
Estonia,Tallinn,Eastern Europe & The Balkans,611.18,813.19,1064.61,1536.18,4.53,1.09,2153.55,0.73,341.06,11.69,11.64,2.26,1.09,34.78,4.45,4.49,6.98,12.81,11.64,2.0,6.98,3.0,1.47,1.84,4.585,10255.67,113.17,2.11,5.79,17.46,93.13,148.92,1.19,19.41,57.87,34.92,111.86,2.33,0.4,1.3,0.49,339.71,508.85,637.88,2.53,48.31,17.64,1.87,4.66,41.47,1.64,34308.02,32013.97,1.4,17.0,5,170.59,3.6,26.0,3.2,37.0,3.5,39.0,3.4,26.0,3.7,28.0,4.1,10.0,3.8,23.0,67.0,2,94.36,24.0,1.559,0.0253876114461097,-0.3650704225352115,0.4800000000000004,-0.0253876114461097,0.3650704225352115,0.1588590399285985,Yes,Yes
Portugal,Braga,Western & Southern Europe,733.03,933.06,1126.47,1520.37,4.13,1.09,1300.15,0.65,126.11,7.03,5.24,1.19,1.07,48.51,1.89,3.73,6.75,9.31,9.31,1.27,3.49,3.41,1.72,2.0,2.165,10373.69,68.18,1.25,4.52,11.64,58.21,101.44,1.11,23.59,49.42,23.28,88.6,1.8,0.94,0.86,0.88,181.14,240.64,349.24,2.11,38.79,17.23,2.9,4.48,14.17,1.32,39662.4,34974.39,0.84,27.0,-4,148.26,3.4,38.0,3.2,37.0,3.6,30.0,3.1,47.0,3.6,33.0,3.6,35.0,3.2,54.0,21.0,-1,245.44,7.0,1.371,0.2253359021192482,-0.7887323943661972,0.1600000000000001,-0.2253359021192482,0.7887323943661972,0.0996121180255401,Yes,Yes
