Country,City,Source Name
Barbados,Bridgetown,SpeedTestMobile
Barbados,Bridgetown,LPI2023
Barbados,Bridgetown,SpeedTestBroadband
Barbados,Bridgetown,GPI
Belize,Belize City,SpeedTestMobile
Belize,Belize City,LPI2023
Belize,Belize City,GPI
Bermuda,Hamilton,SpeedTestMobile
Bermuda,Hamilton,LPI2023
Bermuda,Hamilton,SpeedTestBroadband
Bermuda,Hamilton,GPI
Czechia,Brno,LPI2023
Czechia,Prague,LPI2023
Ecuador,Cuenca,LPI2023
Ecuador,Quito,LPI2023
Malta,Valletta,SpeedTestMobile
Malta,Valletta,GPI
Mauritius,Port Louis,SpeedTestMobile
Montenegro,Podgorica,SpeedTestMobile
Morocco,Casablanca,LPI2023
Morocco,Marrakech,LPI2023
Slovakia,Bratislava,LPI2023
South Korea,Busan,LPI2023
South Korea,Seoul,LPI2023
Taiwan,Taipei,LPI2023
Turkey,Antalya,SpeedTestMobile
Turkey,Antalya,LPI2023
Turkey,Antalya,SpeedTestBroadband
Turkey,Antalya,GPI
Turkey,Istanbul,SpeedTestMobile
Turkey,Istanbul,LPI2023
Turkey,Istanbul,SpeedTestBroadband
Turkey,Istanbul,GPI
UAE,Abu Dhabi,SpeedTestMobile
UAE,Abu Dhabi,LPI2023
UAE,Abu Dhabi,SpeedTestBroadband
UAE,Abu Dhabi,GPI
UAE,Dubai,SpeedTestMobile
UAE,Dubai,LPI2023
UAE,Dubai,SpeedTestBroadband
UAE,Dubai,GPI
Uruguay,Montevideo,SpeedTestMobile
